Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	End Path	File Offset (s)	Delta Time (s)	label	SignalCode	Type
1	Spectrogram 1	1	0	0.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150806-084500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150806-084500.wav	0	0.1	NA	Placeholder	NA
2	Spectrogram 1	1	420	420.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150806-114500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150806-114500.wav	0	0.1	NA	Placeholder	NA
3	Spectrogram 1	1	840	840.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150806-120000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150806-120000.wav	0	0.1	NA	Placeholder	NA
4	Spectrogram 1	1	1260	1260.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150808-050000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150808-050000.wav	0	0.1	NA	Placeholder	NA
5	Spectrogram 1	1	1680	1680.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150810-150000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150810-150000.wav	0	0.1	NA	Placeholder	NA
6	Spectrogram 1	1	2100	2100.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150819-164500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150819-164500.wav	0	0.1	NA	Placeholder	NA
7	Spectrogram 1	1	2520	2520.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150819-171500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150819-171500.wav	0	0.1	NA	Placeholder	NA
8	Spectrogram 1	1	2940	2940.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150819-173000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150819-173000.wav	0	0.1	NA	Placeholder	NA
9	Spectrogram 1	1	3360	3360.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-094500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-094500.wav	0	0.1	NA	Placeholder	NA
10	Spectrogram 1	1	3780	3780.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-131500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-131500.wav	0	0.1	NA	Placeholder	NA
11	Spectrogram 1	1	4200	4200.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-184500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-184500.wav	0	0.1	NA	Placeholder	NA
12	Spectrogram 1	1	4620	4620.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-224500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150828-224500.wav	0	0.1	NA	Placeholder	NA
13	Spectrogram 1	1	5040	5040.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150829-140000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/08_2015/AU-XBLB01-150829-140000.wav	0	0.1	NA	Placeholder	NA
14	Spectrogram 1	1	5460	5460.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/09_2015/AU-XBLB01-150913-003000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/09_2015/AU-XBLB01-150913-003000.wav	0	0.1	NA	Placeholder	NA
15	Spectrogram 1	1	5880	5880.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/09_2015/AU-XBLB01-150913-004500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/09_2015/AU-XBLB01-150913-004500.wav	0	0.1	NA	Placeholder	NA
