Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	End Path	File Offset (s)	Delta Time (s)	label	SignalCode	Type
1	Spectrogram 1	1	21.286	22.143	18.3	731.1	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	21.286	0.856999999999999	y	i_neg	GS
2	Spectrogram 1	1	117.085	118.183	3.4	962.8	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	117.085	1.09800000000001	y	i_neg	GS
3	Spectrogram 1	1	140.987	141.841	0	983.1	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	140.987	0.854000000000013	y	i_neg	GS
4	Spectrogram 1	1	144.28	145.317	152.3	756.3	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	144.28	1.03700000000001	y	i_neg	GS
5	Spectrogram 1	1	148.609	149.707	10.2	659.9	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	148.609	1.09799999999998	y	i_neg	GS
6	Spectrogram 1	1	152.512	153.549	121.8	949.2	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	152.512	1.03700000000001	y	i_neg	GS
7	Spectrogram 1	1	156.17	156.963	20.3	467	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	156.17	0.793000000000006	y	i_neg	GS
8	Spectrogram 1	1	159.036	159.585	0	426.4	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	159.036	0.549000000000007	y	i_neg	GS
9	Spectrogram 1	1	161.939	162.793	137.1	857.9	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	161.939	0.854000000000013	y	i_neg	GS
10	Spectrogram 1	1	183.067	183.86	45.7	817.3	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	183.067	0.793000000000006	y	i_neg	GS
11	Spectrogram 1	1	188.128	189.043	126.9	807.1	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	188.128	0.91500000000002	y	i_neg	GS
12	Spectrogram 1	1	191.878	192.793	192.9	776.6	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	191.878	0.91500000000002	y	i_neg	GS
13	Spectrogram 1	1	196.512	197.61	0	959.4	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB18_AM_OG01/06_2019/AM-XBOG01-190604-124501.wav	196.512	1.09800000000001	y	i_neg	GS
