Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	End Path	File Offset (s)	Delta Time (s)	label	SignalCode	Type
1	Spectrogram 1	1	32.428	33.571	32.8	758.3	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190708-220001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190708-220001.wav	32.428	1.143	y	i_neg	GS
2	Spectrogram 1	1	36.857	38	32.8	797.5	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190708-220001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190708-220001.wav	36.857	1.143	y	i_neg	GS
3	Spectrogram 1	1	44.143	45	49	807.3	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190708-220001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190708-220001.wav	44.143	0.856999999999999	y	i_neg	GS
4	Spectrogram 1	1	351.622	353.265	19.6	990.2	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	10.622	1.643	y	i_neg	GS
5	Spectrogram 1	1	355.05	356.55	39.2	1000	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	14.05	1.5	y	i_neg	GS
6	Spectrogram 1	1	359.693	360.693	98	951	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	18.693	1	y	i_neg	GS
7	Spectrogram 1	1	363.479	364.408	88.2	951	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	22.479	0.929000000000002	y	i_neg	GS
8	Spectrogram 1	1	682	682.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/11_2015/AU-XBLB01-151126-133000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/11_2015/AU-XBLB01-151126-133000.wav	0	0.1	NA	Placeholder	NA
9	Spectrogram 1	1	1102	1102.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/01_2016/AU-XBLB01-160110-150000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/01_2016/AU-XBLB01-160110-150000.wav	0	0.1	NA	Placeholder	NA
10	Spectrogram 1	1	1766.05	1766.836	39.2	951	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/09_2012/AU-XBTI01-120901-144500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/09_2012/AU-XBTI01-120901-144500.wav	244.05	0.786000000000001	y	i_neg	GS
11	Spectrogram 1	1	1767.765	1768.908	19.6	941.2	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/09_2012/AU-XBTI01-120901-144500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/09_2012/AU-XBTI01-120901-144500.wav	245.765	1.143	y	i_neg	GS
12	Spectrogram 1	1	1783.622	1785.122	29.4	951	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/09_2012/AU-XBTI01-120901-144500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/09_2012/AU-XBTI01-120901-144500.wav	261.622	1.5	y	i_neg	GS
13	Spectrogram 1	1	1796.05	1797.55	29.4	666.7	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/10_2012/AU-XBTI01-121025-170000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/10_2012/AU-XBTI01-121025-170000.wav	4.05	1.5	y	i_neg	GS
14	Spectrogram 1	1	1814.407	1816.407	39.2	970.6	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/10_2012/AU-XBTI01-121025-170000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB12_AU_TI01/10_2012/AU-XBTI01-121025-170000.wav	22.407	2	y	i_neg	GS
