Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	End Path	File Offset (s)	Delta Time (s)	label	SignalCode	Type
1	Spectrogram 1	1	0	0.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/06_2013/AU-XBLI01-130615-140000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/06_2013/AU-XBLI01-130615-140000.wav	0	0.1	NA	Placeholder	NA
2	Spectrogram 1	1	270	270.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/06_2013/AU-XBLI01-130629-133000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/06_2013/AU-XBLI01-130629-133000.wav	0	0.1	NA	Placeholder	NA
3	Spectrogram 1	1	540	540.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130701-150000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130701-150000.wav	0	0.1	NA	Placeholder	NA
4	Spectrogram 1	1	810	810.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130702-161500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130702-161500.wav	0	0.1	NA	Placeholder	NA
5	Spectrogram 1	1	1080	1080.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130712-194500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130712-194500.wav	0	0.1	NA	Placeholder	NA
6	Spectrogram 1	1	1350	1350.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130715-030000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130715-030000.wav	0	0.1	NA	Placeholder	NA
7	Spectrogram 1	1	1620	1620.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130720-190000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130720-190000.wav	0	0.1	NA	Placeholder	NA
8	Spectrogram 1	1	1890	1890.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130721-180000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130721-180000.wav	0	0.1	NA	Placeholder	NA
9	Spectrogram 1	1	2160	2160.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130725-190000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130725-190000.wav	0	0.1	NA	Placeholder	NA
10	Spectrogram 1	1	2430	2430.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130726-141500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/07_2013/AU-XBLI01-130726-141500.wav	0	0.1	NA	Placeholder	NA
11	Spectrogram 1	1	2700	2700.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130804-160000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130804-160000.wav	0	0.1	NA	Placeholder	NA
12	Spectrogram 1	1	2970	2970.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130805-150000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130805-150000.wav	0	0.1	NA	Placeholder	NA
13	Spectrogram 1	1	3240	3240.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130807-161500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130807-161500.wav	0	0.1	NA	Placeholder	NA
14	Spectrogram 1	1	3510	3510.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130810-131500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130810-131500.wav	0	0.1	NA	Placeholder	NA
15	Spectrogram 1	1	3780	3780.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130812-140000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130812-140000.wav	0	0.1	NA	Placeholder	NA
16	Spectrogram 1	1	4050	4050.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130815-163000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130815-163000.wav	0	0.1	NA	Placeholder	NA
17	Spectrogram 1	1	4320	4320.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130816-144500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130816-144500.wav	0	0.1	NA	Placeholder	NA
18	Spectrogram 1	1	4590	4590.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130820-143000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/08_2013/AU-XBLI01-130820-143000.wav	0	0.1	NA	Placeholder	NA
19	Spectrogram 1	1	4860	4860.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130901-174500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130901-174500.wav	0	0.1	NA	Placeholder	NA
20	Spectrogram 1	1	5130	5130.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130901-180000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130901-180000.wav	0	0.1	NA	Placeholder	NA
21	Spectrogram 1	1	5400	5400.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130904-174500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130904-174500.wav	0	0.1	NA	Placeholder	NA
22	Spectrogram 1	1	5670	5670.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130905-170000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB13_AU_LI01/09_2013/AU-XBLI01-130905-170000.wav	0	0.1	NA	Placeholder	NA
