Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	End Path	File Offset (s)	Delta Time (s)	label	SignalCode	Type
1	Spectrogram 1	1	0	0.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190713-210001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190713-210001.wav	0	0.1	NA	Placeholder	NA
2	Spectrogram 1	1	341	341.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190713-211501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190713-211501.wav	0	0.1	NA	Placeholder	NA
3	Spectrogram 1	1	682	682.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190714-084501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190714-084501.wav	0	0.1	NA	Placeholder	NA
4	Spectrogram 1	1	1023	1023.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190721-043001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190721-043001.wav	0	0.1	NA	Placeholder	NA
5	Spectrogram 1	1	1364	1364.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190731-141501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/07_2019/AM-XBCS01-190731-141501.wav	0	0.1	NA	Placeholder	NA
6	Spectrogram 1	1	1705	1705.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190804-180001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190804-180001.wav	0	0.1	NA	Placeholder	NA
7	Spectrogram 1	1	2046	2046.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190809-103001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190809-103001.wav	0	0.1	NA	Placeholder	NA
8	Spectrogram 1	1	2387	2387.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190816-153001.wav	0	0.1	NA	Placeholder	NA
9	Spectrogram 1	1	2728	2728.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190817-084501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190817-084501.wav	0	0.1	NA	Placeholder	NA
10	Spectrogram 1	1	3069	3069.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190817-144501.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB19_AM_CS01/08_2019/AM-XBCS01-190817-144501.wav	0	0.1	NA	Placeholder	NA
