"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
"251.567580401","253.304854398",78.6,274.5,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"264.025106139","264.87255687",78.6,215.3,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"273.262319101","274.364005051",71.7,226.6,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"396.347214572","397.492525448",83.2,298.8,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"399.450637592","400.374275395",81.3,306.8,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"404.918573389","405.916102217",67.3,254.9,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"435.250838858","436.359204222",79.3,290.8,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"432.258252374","433.329672226",117.2,316.8,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"410.053999577","410.97763738",81.3,223,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"408.576179091","409.610653431",75.3,240.9,"AU-BSPM04-150402-161000.wav","AU-BSPM04-150402-161000.wav","y","i_neg","GS"
"172.765848996","174.169778457",41.3,346.7,"AU-BSPM04-150530-232000.wav","AU-BSPM04-150530-232000.wav","y","i_neg","GS"
"398.630300738","400.292848784",41.3,242.9,"AU-BSPM04-150725-042000.wav","AU-BSPM04-150725-042000.wav","y","i_neg","GS"
"404.837146778","405.90856663",45.3,179.1,"AU-BSPM04-150725-042000.wav","AU-BSPM04-150725-042000.wav","y","i_neg","GS"
"47.467813727","48.72396114",45.3,225,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"53.600768742","55.0785892280001",51.3,187,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"254.815028299","256.699249418",39.3,238.9,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"260.984928826","262.721367897",55.3,197,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"267.450393451","268.817377401",61.3,193,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"521.674659767","523.448044349",41.3,254.9,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"527.918451319","529.211544244",39.3,185,"AU-BSPM04-150725-043000.wav","AU-BSPM04-150725-043000.wav","y","i_neg","GS"
"75.2138933450001","76.8764413920001",37.9,219,"AU-BSPM04-150725-050000.wav","AU-BSPM04-150725-050000.wav","y","i_neg","GS"
"81.346848361","82.71383231",57.9,175.6,"AU-BSPM04-150725-050000.wav","AU-BSPM04-150725-050000.wav","y","i_neg","GS"
"222.886570221","223.921044561",177.6,826.3,"AU-BSPM04-150725-050000.wav","AU-BSPM04-150725-050000.wav","y","i_neg","GS"
"112.595826398","114.147537908",33.9,225.5,"AU-BSPM04-150725-051000.wav","AU-BSPM04-150725-051000.wav","y","i_neg","GS"
"563.829733261","565.270608235",43.9,195.6,"AU-BSPM04-150725-051000.wav","AU-BSPM04-150725-051000.wav","y","i_neg","GS"
"129.635121012","130.780431888",71.9,299.4,"AU-BSPM04-150728-021000.wav","AU-BSPM04-150728-021000.wav","y","i_neg","GS"
"135.80502154","136.654768319",71.9,249.5,"AU-BSPM04-150728-021000.wav","AU-BSPM04-150728-021000.wav","y","i_neg","GS"
"131.711727349","133.078711298",57.9,255.5,"AU-BSPM04-150729-030000.wav","AU-BSPM04-150729-030000.wav","y","i_neg","GS"
"137.955518901","139.544175923",57.9,221.6,"AU-BSPM04-150729-030000.wav","AU-BSPM04-150729-030000.wav","y","i_neg","GS"
"301.691957972","303.539233579",67.9,233.5,"AU-BSPM04-150729-030000.wav","AU-BSPM04-150729-030000.wav","y","i_neg","GS"
"307.972695036","309.154951424",69.9,237.5,"AU-BSPM04-150729-030000.wav","AU-BSPM04-150729-030000.wav","y","i_neg","GS"
"318.686893557","320.090823018",45.9,169.7,"AU-BSPM04-150729-030000.wav","AU-BSPM04-150729-030000.wav","y","i_neg","GS"
"143.083409502","144.893739597",43.9,217.6,"AU-BSPM04-150729-031000.wav","AU-BSPM04-150729-031000.wav","y","i_neg","GS"
"149.401092078","151.359204222",55.9,297.4,"AU-BSPM04-150729-031000.wav","AU-BSPM04-150729-031000.wav","y","i_neg","GS"
"155.755720167","157.344377189",41.9,159.7,"AU-BSPM04-150729-031000.wav","AU-BSPM04-150729-031000.wav","y","i_neg","GS"
"417.332143398","418.773018372",49.9,247.5,"AU-BSPM04-150729-031000.wav","AU-BSPM04-150729-031000.wav","y","i_neg","GS"
"479.903502215","481.122704116",67.9,293.4,"AU-BSPM04-150729-034000.wav","AU-BSPM04-150729-034000.wav","y","i_neg","GS"
"423.487461034","424.484989862",53.9,215.6,"AU-BSPM04-150729-031000.wav","AU-BSPM04-150729-031000.wav","y","i_neg","GS"
"485.87409229","487.019403166",41.9,149.7,"AU-BSPM04-150729-034000.wav","AU-BSPM04-150729-034000.wav","y","i_neg","GS"
"507.9086887","509.053999577",55.9,167.7,"AU-BSPM04-150729-034000.wav","AU-BSPM04-150729-034000.wav","y","i_neg","GS"
"506.091067159","508.049179303",45.9,347.3,"AU-BSPM04-150729-035000.wav","AU-BSPM04-150729-035000.wav","y","i_neg","GS"
"512.519586272","513.664897148",47.9,173.7,"AU-BSPM04-150729-035000.wav","AU-BSPM04-150729-035000.wav","y","i_neg","GS"
"67.8915125650001","68.6304228079998",65.9,509,"AU-BSPM04-150730-000000.wav","AU-BSPM04-150730-000000.wav","y","i_neg","GS"
"79.8618584989999","80.6746597669999",113.8,401.2,"AU-BSPM04-150730-000000.wav","AU-BSPM04-150730-000000.wav","y","i_neg","GS"
"124.263438859","125.704313833",43.9,319.4,"AU-BSPM04-150731-050000.wav","AU-BSPM04-150731-050000.wav","y","i_neg","GS"
"519.369333051","521.179663146",43.9,211.6,"AU-BSPM04-150731-053000.wav","AU-BSPM04-150731-053000.wav","y","i_neg","GS"
"546.273201477","547.492403378",43.9,241.5,"AU-BSPM04-150731-061000.wav","AU-BSPM04-150731-061000.wav","y","i_neg","GS"
"552.406156493","553.994813515",45.9,139.7,"AU-BSPM04-150731-061000.wav","AU-BSPM04-150731-061000.wav","y","i_neg","GS"
"16.86198057","17.7486728610002",59.9,295.4,"AU-BSPM04-150802-023000.wav","AU-BSPM04-150802-023000.wav","y","i_neg","GS"
"36.997284687","37.6253583940002",91.8,287.4,"AU-BSPM04-150802-023000.wav","AU-BSPM04-150802-023000.wav","y","i_neg","GS"
"55.9872779280004","57.3173163649999",61.9,295.4,"AU-BSPM04-150802-023000.wav","AU-BSPM04-150802-023000.wav","y","i_neg","GS"
"86.3716821529997","88.6623039059996",41.9,259.5,"AU-BSPM04-150807-071000.wav","AU-BSPM04-150807-071000.wav","y","i_neg","GS"
"92.5785281930002","94.3149672640002",39.9,167.7,"AU-BSPM04-150807-071000.wav","AU-BSPM04-150807-071000.wav","y","i_neg","GS"
"95.7558422370003","97.5292268200001",51.9,183.6,"AU-BSPM04-150807-071000.wav","AU-BSPM04-150807-071000.wav","y","i_neg","GS"
"98.9701017930001","100.337085743",53.9,165.7,"AU-BSPM04-150807-071000.wav","AU-BSPM04-150807-071000.wav","y","i_neg","GS"
"214.403807391","215.807736852",39.9,249.5,"AU-BSPM04-150807-072000.wav","AU-BSPM04-150807-072000.wav","y","i_neg","GS"
"60.8126791969999","61.9949355850003",55.9,239.5,"AU-BSPM04-150807-073000.wav","AU-BSPM04-150807-073000.wav","y","i_neg","GS"
"67.0195252370004","67.9801085520003",53.9,245.5,"AU-BSPM04-150807-073000.wav","AU-BSPM04-150807-073000.wav","y","i_neg","GS"
"89.0759959859997","90.4799254469999",45.9,165.7,"AU-BSPM04-150807-073000.wav","AU-BSPM04-150807-073000.wav","y","i_neg","GS"
"128.815150369","130.256025343",61.9,323.4,"AU-BSPM04-150811-013000.wav","AU-BSPM04-150811-013000.wav","y","i_neg","GS"
"135.613124603","136.869272016",95.8,253.5,"AU-BSPM04-150811-013000.wav","AU-BSPM04-150811-013000.wav","y","i_neg","GS"
"155.637592184","156.450393451",105.8,337.3,"AU-BSPM04-150811-013000.wav","AU-BSPM04-150811-013000.wav","y","i_neg","GS"
"206.940569798","207.716425553",69.9,281.4,"AU-BSPM04-150811-013000.wav","AU-BSPM04-150811-013000.wav","y","i_neg","GS"
"9.4875831039999","10.9654035900003",41.9,223.6,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"15.4727560709998","16.6180669470004",47.9,215.6,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"23.3421501570001","24.5982975699999",49.9,239.5,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"57.3176825760002","58.2043748679998",83.8,900.2,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"180.354506018","181.536762407",47.9,187.6,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"211.905973387","213.642412458",55.9,253.5,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"217.987644139","219.613246673",59.9,253.5,"AU-BSPM04-150812-074000.wav","AU-BSPM04-150812-074000.wav","y","i_neg","GS"
"53.2314356910001","54.857038225",65.9,167.7,"AU-BSPM04-150813-081000.wav","AU-BSPM04-150813-081000.wav","y","i_neg","GS"
"185.393800632","187.314967264",41.9,199.6,"AU-BSPM04-150813-081000.wav","AU-BSPM04-150813-081000.wav","y","i_neg","GS"
"190.603117844","192.302611403",57.9,235.5,"AU-BSPM04-150813-081000.wav","AU-BSPM04-150813-081000.wav","y","i_neg","GS"
"148.810085954","150.214015416",33.9,175.6,"AU-BSPM04-150813-083000.wav","AU-BSPM04-150813-083000.wav","y","i_neg","GS"
"216.18436135","217.366617738",29.9,211.6,"AU-BSPM04-150813-083000.wav","AU-BSPM04-150813-083000.wav","y","i_neg","GS"
"220.913386904","222.206479829",61.9,187.6,"AU-BSPM04-150813-083000.wav","AU-BSPM04-150813-083000.wav","y","i_neg","GS"
"403.736317","404.659954804",53.9,179.6,"AU-BSPM04-150813-083000.wav","AU-BSPM04-150813-083000.wav","y","i_neg","GS"
"408.502288067","410.349563674",47.9,207.6,"AU-BSPM04-150813-083000.wav","AU-BSPM04-150813-083000.wav","y","i_neg","GS"
"438.021752268","439.573463778",47.9,173.7,"AU-BSPM04-150813-083000.wav","AU-BSPM04-150813-083000.wav","y","i_neg","GS"
"448.071297782","449.327445195",35.9,189.6,"AU-BSPM04-150813-085000.wav","AU-BSPM04-150813-085000.wav","y","i_neg","GS"
"453.021996409","454.610653431",31.9,203.6,"AU-BSPM04-150813-085000.wav","AU-BSPM04-150813-085000.wav","y","i_neg","GS"
"461.512172755","463.285557338",53.9,197.6,"AU-BSPM04-150813-180000.wav","AU-BSPM04-150813-180000.wav","y","i_neg","GS"
"59.6599548040003","60.5466470949996",75.8,299.4,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"68.5934772959999","69.3693330509996",101.8,337.3,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"77.2756726500002","78.1993104530002",57.9,321.4,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"85.9948135149998","87.0662333669998",81.8,273.5,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"94.6400633559997","95.600646672",37.9,195.6,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"420.783147201","421.743730517",107.8,331.3,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"429.280614994","430.204252797",109.8,291.4,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"437.778082787","438.923393663",89.8,239.5,"AU-BSPM04-150814-042000.wav","AU-BSPM04-150814-042000.wav","y","i_neg","GS"
"28.3668618789998","29.6230092919996",75.8,195.6,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"94.9652815190002","95.9258648349996",103.8,315.4,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"104.238605067","105.088351846",35.9,463.1,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"113.068582469","114.066111297",45.9,395.2,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"121.566050262","122.969979723",57.9,363.3,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"130.418634424","131.342272228",77.8,261.5,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"139.100829777","140.504759239",49.9,163.7,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"165.18436135","166.662181835",37.9,195.6,"AU-BSPM04-150814-043000.wav","AU-BSPM04-150814-043000.wav","y","i_neg","GS"
"204.827262089","206.378973599",35.9,447.1,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"196.292848784","197.290377612",45.9,271.5,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"213.694185003","215.393678562",39.9,305.4,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"222.26554382","223.410854697",41.9,235.5,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"543.221306862","544.107999153",71.9,403.2,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"551.940447727","553.159649628",37.9,429.1,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"560.645249841","561.679724181",77.8,413.2,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"569.179663146","570.435810559",77.8,387.2,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"577.566294402","578.489932206",49.9,287.4,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"585.923515733","586.884099049",131.7,255.5,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"594.088473917","594.938220696",57.9,275.4,"AU-BSPM04-150814-044000.wav","AU-BSPM04-150814-044000.wav","y","i_neg","GS"
"300.9086887","302.090945089",63.9,351.3,"AU-BSPM04-150814-045000.wav","AU-BSPM04-150814-045000.wav","y","i_neg","GS"
"309.627829566","310.957868003",55.9,323.4,"AU-BSPM04-150814-045000.wav","AU-BSPM04-150814-045000.wav","y","i_neg","GS"
