"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
0,225,0,800,"AU-BSPM04-141019-000000.wav","AU-BSPM04-141019-000000.wav","m","SC","HB"
225,450,0,800,"AU-BSPM04-141019-000000.wav","AU-BSPM04-141019-000000.wav","n","SC","HB"
450,600,0,800,"AU-BSPM04-141019-000000.wav","AU-BSPM04-141019-000000.wav","m","SC","HB"
0,225,0,800,"AU-BSPM04-141019-001000.wav","AU-BSPM04-141019-001000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-001000.wav","AU-BSPM04-141019-001000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-001000.wav","AU-BSPM04-141019-001000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-002000.wav","AU-BSPM04-141019-002000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-002000.wav","AU-BSPM04-141019-002000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-002000.wav","AU-BSPM04-141019-002000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-003000.wav","AU-BSPM04-141019-003000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-003000.wav","AU-BSPM04-141019-003000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-003000.wav","AU-BSPM04-141019-003000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-004000.wav","AU-BSPM04-141019-004000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-004000.wav","AU-BSPM04-141019-004000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-004000.wav","AU-BSPM04-141019-004000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-005000.wav","AU-BSPM04-141019-005000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-005000.wav","AU-BSPM04-141019-005000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-005000.wav","AU-BSPM04-141019-005000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-010000.wav","AU-BSPM04-141019-010000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-010000.wav","AU-BSPM04-141019-010000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-010000.wav","AU-BSPM04-141019-010000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-011000.wav","AU-BSPM04-141019-011000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-011000.wav","AU-BSPM04-141019-011000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-011000.wav","AU-BSPM04-141019-011000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-050000.wav","AU-BSPM04-141019-050000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-050000.wav","AU-BSPM04-141019-050000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-050000.wav","AU-BSPM04-141019-050000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-051000.wav","AU-BSPM04-141019-051000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-051000.wav","AU-BSPM04-141019-051000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-051000.wav","AU-BSPM04-141019-051000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-052000.wav","AU-BSPM04-141019-052000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-052000.wav","AU-BSPM04-141019-052000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-052000.wav","AU-BSPM04-141019-052000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-053000.wav","AU-BSPM04-141019-053000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-053000.wav","AU-BSPM04-141019-053000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-053000.wav","AU-BSPM04-141019-053000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-054000.wav","AU-BSPM04-141019-054000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-054000.wav","AU-BSPM04-141019-054000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-054000.wav","AU-BSPM04-141019-054000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-055000.wav","AU-BSPM04-141019-055000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-055000.wav","AU-BSPM04-141019-055000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-055000.wav","AU-BSPM04-141019-055000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-060000.wav","AU-BSPM04-141019-060000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-060000.wav","AU-BSPM04-141019-060000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-060000.wav","AU-BSPM04-141019-060000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-061000.wav","AU-BSPM04-141019-061000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-061000.wav","AU-BSPM04-141019-061000.wav","m","SC","HB"
450,600,0,800,"AU-BSPM04-141019-061000.wav","AU-BSPM04-141019-061000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-100000.wav","AU-BSPM04-141019-100000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-100000.wav","AU-BSPM04-141019-100000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-100000.wav","AU-BSPM04-141019-100000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-101000.wav","AU-BSPM04-141019-101000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-101000.wav","AU-BSPM04-141019-101000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-101000.wav","AU-BSPM04-141019-101000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-102000.wav","AU-BSPM04-141019-102000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-102000.wav","AU-BSPM04-141019-102000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-102000.wav","AU-BSPM04-141019-102000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-103000.wav","AU-BSPM04-141019-103000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-103000.wav","AU-BSPM04-141019-103000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-103000.wav","AU-BSPM04-141019-103000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-104000.wav","AU-BSPM04-141019-104000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-104000.wav","AU-BSPM04-141019-104000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-104000.wav","AU-BSPM04-141019-104000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-105000.wav","AU-BSPM04-141019-105000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-105000.wav","AU-BSPM04-141019-105000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-105000.wav","AU-BSPM04-141019-105000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-110000.wav","AU-BSPM04-141019-110000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-110000.wav","AU-BSPM04-141019-110000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-110000.wav","AU-BSPM04-141019-110000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-111000.wav","AU-BSPM04-141019-111000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-111000.wav","AU-BSPM04-141019-111000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-111000.wav","AU-BSPM04-141019-111000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-150000.wav","AU-BSPM04-141019-150000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-150000.wav","AU-BSPM04-141019-150000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-150000.wav","AU-BSPM04-141019-150000.wav","m","SC","HB"
0,225,0,800,"AU-BSPM04-141019-151000.wav","AU-BSPM04-141019-151000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-151000.wav","AU-BSPM04-141019-151000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-151000.wav","AU-BSPM04-141019-151000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-152000.wav","AU-BSPM04-141019-152000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-152000.wav","AU-BSPM04-141019-152000.wav","y","SC","HB"
450,600,0,800,"AU-BSPM04-141019-152000.wav","AU-BSPM04-141019-152000.wav","y","SC","HB"
0,225,0,800,"AU-BSPM04-141019-153000.wav","AU-BSPM04-141019-153000.wav","y","SC","HB"
225,450,0,800,"AU-BSPM04-141019-153000.wav","AU-BSPM04-141019-153000.wav","y","SC","HB"
