StartTime,EndTime,LowFreq,HighFreq,StartFile,EndFile,label,SignalCode,Type,Analyst
79.731,80.524,17.2,478.1,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
303.109,304.511,58.7,985,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
306.219,307.073,21.8,985,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
308.231,309.511,40.3,796,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
317.212,317.932,67.8,782.7,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DFW
323.597,325.243,95.6,994.2,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
331.153,331.873,254,964.3,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DFW
333.992,334.839,109.2,985,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DFW
360.829,361.805,141.7,948.1,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
367.597,368.451,72.5,819.1,AU-XBLB01-150806-084500.wav,AU-XBLB01-150806-084500.wav,y,i_neg,GS,DLW
99.415,100.513,3.4,994.2,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
254.89,255.683,127.8,713.1,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
293.768,294.622,0,491.9,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
301.268,301.878,4.6,350.2,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
310.415,311.208,55.3,972.4,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
330.864,331.711,86.2,587.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DFW
333.153,334.17,191.9,658.6,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DFW
334.678,335.568,125.2,964.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DFW
338.097,339.987,0,801.8,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
345.451,346.61,138.2,788,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
351.881,352.728,155.1,939,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DFW
363.866,364.781,73.7,926.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
367.097,368.073,0,608.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
370.398,371.33,286.2,909.2,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DFW
373.378,374.11,0,958.5,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
376.792,377.646,4.6,990.8,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
379.231,380.451,0,986.2,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
382.829,384.17,0,972.4,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
390.024,391,0,516.1,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
393.099,394.501,20,970.1,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
396.27,397.611,46.7,933.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
399.44,400.842,6.7,533.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
402.916,404.562,13.3,920,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
406.941,407.831,12.6,936.7,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DFW
410.05,411.087,13.3,673.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
413.404,414.38,20,713.3,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
416.879,417.794,26.7,806.7,AU-XBLB01-150806-114500.wav,AU-XBLB01-150806-114500.wav,y,i_neg,GS,DLW
231.244,232.342,0,953.9,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
234.475,235.329,0,963.1,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
240.634,241.549,0,723.5,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
243.292,244.999,0,866.4,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
246.707,247.683,92.2,824.9,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
271.829,272.683,0,940.1,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
277.378,278.171,0,405.5,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
308.178,309.28,88.5,932.1,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DFW
317.476,318.513,0,765,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
322.17,322.78,622.1,953.9,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
326.439,327.232,0,981.6,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
329.548,330.707,0,958.5,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
331.5,332.78,0,838.7,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
339.609,340.707,0,995.4,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
348.695,349.732,0,986.2,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
361.415,362.817,0,990.8,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
372.695,373.427,27.6,852.5,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
377.085,378,0,981.6,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
395.233,396.635,20,986.7,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
406.339,407.271,313.8,955.1,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DFW
409.624,410.722,20,760,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
412.792,413.463,0,751.2,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
415.721,416.819,13.3,973.3,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DLW
418.458,419.348,40.2,743.6,AU-XBLB01-150806-120000.wav,AU-XBLB01-150806-120000.wav,y,i_neg,GS,DFW
