"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
"456.228800887","456.843206416",95.6,162.4,"AU-BSPM02_b-151001-171000.wav","AU-BSPM02_b-151001-171000.wav","y","i_neg","RW"
"305.046581592","306.127087868",104.8,185.4,"AU-BSPM02_b-151007-233000.wav","AU-BSPM02_b-151007-233000.wav","y","i_neg","RW"
"452.716047341","453.372825666",114,169.3,"AU-BSPM02_b-151010-121000.wav","AU-BSPM02_b-151010-121000.wav","y","i_neg","RW"
"556.055039875","557.432155717",79.4,178.5,"AU-BSPM02_b-151010-121000.wav","AU-BSPM02_b-151010-121000.wav","y","i_neg","RW"
"419.309286818","420.580470672",95.6,185.4,"AU-BSPM02_b-151013-045000.wav","AU-BSPM02_b-151013-045000.wav","y","i_neg","RW"
"564.542316846","565.707568713",93.3,197,"AU-BSPM02_b-151024-105000.wav","AU-BSPM02_b-151024-105000.wav","y","i_neg","RW"
"580.567762903","581.584709986",107.1,190,"AU-BSPM02_b-151024-105000.wav","AU-BSPM02_b-151024-105000.wav","y","i_neg","RW"
"454.220312086","454.855904013",38,150.9,"AU-BSPM02_b-151101-081000.wav","AU-BSPM02_b-151101-081000.wav","y","i_neg","RW"
"460.99995931","461.762669623",74.8,213.1,"AU-BSPM02_b-151101-081000.wav","AU-BSPM02_b-151101-081000.wav","y","i_neg","RW"
"495.974574288","497.01270777",38,157.8,"AU-BSPM02_b-151101-081000.wav","AU-BSPM02_b-151101-081000.wav","y","i_neg","RW"
"523.949148577","525.008468456",79.4,169.3,"AU-BSPM02_b-151101-081000.wav","AU-BSPM02_b-151101-081000.wav","y","i_neg","RW"
"548.419437775","548.906724919",54.1,160.1,"AU-BSPM02_b-151101-081000.wav","AU-BSPM02_b-151101-081000.wav","y","i_neg","RW"
"294.372856183","295.665226435",100.2,185.4,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"330.165211176","330.800803104",100.2,148.6,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"372.004218969","373.148284438",77.1,192.3,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"383.16945049","384.271143164",63.3,187.7,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"396.207614489","396.970324802",72.5,160.1,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"411.716057513","412.394022236",65.6,194.7,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"418.199095171","419.194855857",56.4,160.1,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"443.46181057","444.16096169",65.6,162.4,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"468.343170813","469.275372306",74.8,192.3,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"501.220332431","502.343211503",74.8,160.1,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"528.411010009","529.216093117",74.8,141.7,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"542.436405203","543.135556323",63.3,162.4,"AU-BSPM02_b-151101-082000.wav","AU-BSPM02_b-151101-082000.wav","y","i_neg","RW"
"344.563554106","345.368637214",63.3,141.7,"AU-BSPM02_b-151101-083000.wav","AU-BSPM02_b-151101-083000.wav","y","i_neg","RW"
"399.728805973","400.533889081",67.9,167,"AU-BSPM02_b-151101-083000.wav","AU-BSPM02_b-151101-083000.wav","y","i_neg","RW"
"414.580470672","415.597417756",58.7,167,"AU-BSPM02_b-151101-083000.wav","AU-BSPM02_b-151101-083000.wav","y","i_neg","RW"
"427.067788334","427.872871442",72.5,162.4,"AU-BSPM02_b-151101-083000.wav","AU-BSPM02_b-151101-083000.wav","y","i_neg","RW"
"443.360128069","444.080465586",86.4,153.2,"AU-BSPM02_b-151101-083000.wav","AU-BSPM02_b-151101-083000.wav","y","i_neg","RW"
"207.495725082","208.449112973",107.1,208.5,"AU-BSPM02_b-151101-085000.wav","AU-BSPM02_b-151101-085000.wav","y","i_neg","RW"
"215.970284112","216.77536722",95.6,178.5,"AU-BSPM02_b-151101-085000.wav","AU-BSPM02_b-151101-085000.wav","y","i_neg","RW"
"199.961836001","200.788105507",86.4,146.3,"AU-BSPM02_b-151106-131000.wav","AU-BSPM02_b-151106-131000.wav","y","i_neg","RW"
"211.338931499","212.038082618",77.1,132.4,"AU-BSPM02_b-151106-131000.wav","AU-BSPM02_b-151106-131000.wav","y","i_neg","RW"
"220.627103127","221.601677415",77.1,185.4,"AU-BSPM02_b-151106-131000.wav","AU-BSPM02_b-151106-131000.wav","y","i_neg","RW"
"227.194886375","227.745732712",111.7,180.8,"AU-BSPM02_b-151106-185000.wav","AU-BSPM02_b-151106-185000.wav","y","i_neg","RW"
"269.817790877","270.538128395",95.6,150.9,"AU-BSPM02_b-151106-185000.wav","AU-BSPM02_b-151106-185000.wav","y","i_neg","RW"
"320.398251377","320.906724919",95.6,148.6,"AU-BSPM02_b-151106-185000.wav","AU-BSPM02_b-151106-185000.wav","y","i_neg","RW"
"339.940639431","340.470299371",107.1,176.2,"AU-BSPM02_b-151106-185000.wav","AU-BSPM02_b-151106-185000.wav","y","i_neg","RW"
"290.368596524","291.321984415",84.1,162.4,"AU-BSPM02_b-151106-190000.wav","AU-BSPM02_b-151106-190000.wav","y","i_neg","RW"
"303.936420462","304.910994751",107.1,180.8,"AU-BSPM02_b-151106-190000.wav","AU-BSPM02_b-151106-190000.wav","y","i_neg","RW"
"341.211823286","341.444873659",114,176.2,"AU-BSPM02_b-151106-190000.wav","AU-BSPM02_b-151106-190000.wav","y","i_neg","RW"
"371.622833295","372.237238825",102.5,169.3,"AU-BSPM02_b-151106-190000.wav","AU-BSPM02_b-151106-190000.wav","y","i_neg","RW"
"403.283840761","403.855873496",120.9,180.8,"AU-BSPM02_b-151106-190000.wav","AU-BSPM02_b-151106-190000.wav","y","i_neg","RW"
"415.00844811","415.919463206",95.6,183.1,"AU-BSPM02_b-151106-190000.wav","AU-BSPM02_b-151106-190000.wav","y","i_neg","RW"
"81.2923295619998","82.478767826",70.2,178.5,"AU-BSPM02_b-151107-000000.wav","AU-BSPM02_b-151107-000000.wav","y","i_neg","RW"
"115.864402987","116.733045287",72.5,137,"AU-BSPM02_b-151107-000000.wav","AU-BSPM02_b-151107-000000.wav","y","i_neg","RW"
"280.169440318","281.525369763",107.1,178.5,"AU-BSPM02_b-151107-095000.wav","AU-BSPM02_b-151107-095000.wav","y","i_neg","RW"
"86.1864179190002","87.118619412",81.7,155.5,"AU-BSPM02_b-151107-100000.wav","AU-BSPM02_b-151107-100000.wav","y","i_neg","RW"
"272.453372632","273.533878908",79.4,155.5,"AU-BSPM02_b-151107-100000.wav","AU-BSPM02_b-151107-100000.wav","y","i_neg","RW"
"344.419437775","345.372825666",95.6,169.3,"AU-BSPM02_b-151107-100000.wav","AU-BSPM02_b-151107-100000.wav","y","i_neg","RW"
"395.694891461","397.177939291",97.9,167,"AU-BSPM02_b-151107-100000.wav","AU-BSPM02_b-151107-100000.wav","y","i_neg","RW"
"147.915234065","149.122858726",104.8,226.9,"AU-BSPM02_b-151110-070000.wav","AU-BSPM02_b-151110-070000.wav","y","i_neg","RW"
