"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
"225.110835634","225.646541201",118.9,348,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"233.774487726","234.531864561",132.9,290.3,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"242.216468548","243.103153623",126.9,252.4,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"259.37056969","259.998638285",176.7,278.3,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"319.49987793","320.312672582",45.2,338.1,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"329.290358971","329.863009749",158.8,290.3,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"413.338338918","414.169606176",79.1,358,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"414.15113357","414.446695262",65.2,248.4,"AU-ALBS03-161203-054000.wav","AU-ALBS03-161203-054000.wav","y","i_neg","GS"
"479.996158994","480.698118013",67.2,212.6,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"548.090757173","548.589517528",63.2,224.5,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"565.411111766","566.168488601",61.2,260.4,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"573.945455617","574.924503721",75.1,296.2,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"590.859412884","591.635262325",73.1,264.4,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"582.38048685","582.897719811",178.7,310.2,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"599.264448495","599.837099273",87.1,276.3,"AU-ALBS03-161203-055000.wav","AU-ALBS03-161203-055000.wav","y","i_neg","GS"
"21.51698882","22.329783473",35.3,182.7,"AU-ALBS03-161203-060000.wav","AU-ALBS03-161203-060000.wav","y","i_neg","GS"
"203.88532336","204.642700195",89.1,296.2,"AU-ALBS03-161203-060000.wav","AU-ALBS03-161203-060000.wav","y","i_neg","GS"
"208.946817332","209.593358533",118.9,306.2,"AU-ALBS03-161203-060000.wav","AU-ALBS03-161203-060000.wav","y","i_neg","GS"
"212.696756297","213.472605738",67.2,286.3,"AU-ALBS03-161203-060000.wav","AU-ALBS03-161203-060000.wav","y","i_neg","GS"
"214.045256516","214.710270323",81.1,256.4,"AU-ALBS03-161203-060000.wav","AU-ALBS03-161203-060000.wav","y","i_neg","GS"
"55.821350098","56.671089962",23.3,489.5,"AU-ALBS03-161203-154000.wav","AU-ALBS03-161203-154000.wav","y","i_neg","GS"
"293.009428879","294.154730435",55.2,342.1,"AU-ALBS03-161204-015000.wav","AU-ALBS03-161204-015000.wav","y","i_neg","GS"
"307.909872121","308.667248956",115,360,"AU-ALBS03-161204-015000.wav","AU-ALBS03-161204-015000.wav","y","i_neg","GS"
"313.229982573","314.393756735",49.2,260.4,"AU-ALBS03-161204-015000.wav","AU-ALBS03-161204-015000.wav","y","i_neg","GS"
"381.018228465","382.126584809",35.3,336.1,"AU-ALBS03-161204-020000.wav","AU-ALBS03-161204-020000.wav","y","i_neg","GS"
"405.709152748","406.448056977",146.8,475.5,"AU-ALBS03-161204-020000.wav","AU-ALBS03-161204-020000.wav","y","i_neg","GS"
"410.807591932","411.657331796",85.1,280.3,"AU-ALBS03-161204-020000.wav","AU-ALBS03-161204-020000.wav","y","i_neg","GS"
"416.497154499","417.199113517",81.1,294.2,"AU-ALBS03-161204-020000.wav","AU-ALBS03-161204-020000.wav","y","i_neg","GS"
"239.951775913","240.672207536",51.2,178.7,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"364.163774162","365.327548323",37.3,226.5,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"373.935782597","374.767049855",81.1,238.5,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"379.052694386","379.77312601",111,320.1,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"383.670845821","384.576003502",71.1,252.4,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"388.78775761","389.52666184",97,385.9,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"404.925865436","405.64629706",176.7,364,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"399.365611109","399.993679704",202.6,489.5,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"417.838216847","418.614066288",63.2,290.3,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"434.161050731","434.881482355",83.1,312.2,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"570.546496161","571.433181237",41.3,290.3,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"584.708035173","585.37304898",79.1,360,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"589.806474357","590.39759774",93,373.9,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"594.960331358","595.311310867",75.1,270.3,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"595.329783473","596.161050731",77.1,280.3,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"590.275727371","590.829905543",87.1,561.2,"AU-ALBS03-161204-021000.wav","AU-ALBS03-161204-021000.wav","y","i_neg","GS"
"158.205433813","158.962810648",91.1,360,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"485.704194168","486.406153186",55.2,312.2,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"503.264692635","503.911233836",95,344,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"511.909872121","512.464050293",75.1,304.2,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"520.40727076","521.053811961",164.8,429.7,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"528.990082839","529.710514463",69.1,316.2,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"546.188078782","546.834619982",73.1,356,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"532.880377408","533.471500791",122.9,336.1,"AU-ALBS03-161204-060000.wav","AU-ALBS03-161204-060000.wav","y","i_neg","GS"
"376.965302566","377.648788978",65.2,290.3,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"385.592009446","386.386331492",53.2,256.4,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"394.045513285","394.784417514",63.2,465.6,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"402.339713261","403.244870942",81.1,828.1,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"406.3297961","406.865501667",115,391.9,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"410.984892746","411.890050428",79.1,364,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"428.046630859","428.767062483",113,352,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"436.765700768","437.57849542",87.1,316.2,"AU-ALBS03-161204-061000.wav","AU-ALBS03-161204-061000.wav","y","i_neg","GS"
"286.503487423","287.168501229",134.9,445.6,"AU-ALBS03-161204-062000.wav","AU-ALBS03-161204-062000.wav","y","i_neg","GS"
"277.80289012","278.412486109",122.9,366,"AU-ALBS03-161204-062000.wav","AU-ALBS03-161204-062000.wav","y","i_neg","GS"
"295.167139514","295.850625926",69.1,320.1,"AU-ALBS03-161204-062000.wav","AU-ALBS03-161204-062000.wav","y","i_neg","GS"
